Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,153863,0.847986812,-0.097417108,-0.205799573,-0.230480382,185,0
34165,-0.340651541,1.093577167,1.283998396,0.067512019,-0.019960883,-0.998181873,0.673189596,-0.041958404,-0.311676956,-0.494955527,-0.304699222,-0.371350803,-0.432363266,-0.319865782,0.954080407,0.408004437,0.040161373,-0.07161535,-0.08746397,0.077302032,-0.270379989,-0.734086668,-0.009470602,0.319269134,-0.179516097,0.073712083,0.242244943,0.09707393,2.69,0
170604,-0.527405944,0.321647463,0.995809306,-1.038025619,0.41596948,0.183716075,0.273349633,0.340483343,0.182032063,-0.420248815,0.179050267,0.043238559,-0.948041732,0.187077005,-0.469850416,0.758521632,-0.961271342,0.437473874,0.233642213,0.120144171,-0.167955472,-0.560117031,0.201641564,0.3047601,-0.85903247,0.144712461,0.343059738,0.242362088,36.94,0
171354,-1.958446966,2.44613761,-2.219110555,-0.519680418,-0.497069098,-1.098304853,-0.477576069,1.633614777,-0.121761586,-0.805632509,-1.257589533,0.470059758,0.120022282,0.066381884,-0.324285281,0.780977969,1.0118078,-0.086018427,-0.330404077,-0.04113188,-0.267796802,-0.971995258,0.317359426,0.543723284,-0.177960443,0.135804473,0.04687591,-0.007634357,9.99,0
159017,2.061322273,-0.086406626,-1.071371923,0.423451125,-0.193302278,-1.231093636,0.150684426,-0.306945934,0.617271869,0.088099256,-0.819138376,0.173383113,-0.441756424,0.376302386,0.094680085,-0.08414709,-0.256014077,-0.81068225,0.146171826,-0.257016025,-0.294481827,-0.738742266,0.34737444,0.032504219,-0.316633167,0.197072963,-0.074016784,-0.060930367,1.79,0
59698,-0.583064507,1.111984122,0.532538048,0.632966271,0.116910619,0.055014194,0.437711407,0.48202718,-0.950843929,-0.291267086,0.139411753,0.078712621,-0.488065486,0.937773877,0.407186407,0.283116901,-0.5512734,1.021730176,1.03697102,-0.029508636,0.211019153,0.397772182,-0.128668862,-0.541139347,-0.153586941,-0.295601441,0.025288561,0.084615874,48.75,0
73978,-0.721791222,1.305718463,-0.35392133,-0.645598001,0.392883794,1.251666457,-1.609720426,-5.137606778,-1.132943389,-1.475439585,0.316617942,0.895951965,-0.751700718,1.507988549,-0.234301807,0.896097047,-0.641618619,-0.395106855,-0.623943325,1.119727967,-2.895810447,-0.449764014,0.074874015,-1.201047923,0.627869232,0.118137451,-0.014916691,0.223611821,52.9,0
15817,-4.641892851,2.902086433,-1.572938709,2.507298518,-0.871782564,-1.040902572,-1.59390074,-3.254905086,1.908962686,1.077417521,3.33850216,-6.542610345,1.099536382,-3.266475545,1.014727904,-4.842383078,-5.2698763,-2.344668574,1.959224054,-0.46567922,1.963596666,-0.217413916,-0.549339956,0.645545202,-0.354557819,-0.611763845,-3.908080475,-0.671248265,11.39,1
79312,1.2268693,-0.424874674,0.789118466,-0.915856823,-1.013001855,-0.31803123,-0.698337527,0.148098448,1.619437305,-0.903659428,0.927180826,1.197757264,-0.301050826,0.074471157,0.621227842,-0.139497257,-0.501562596,0.818674223,0.970733587,-0.118952766,0.015111876,0.247288645,-0.085872319,0.020849897,0.505989494,-0.682912734,0.08787832,0.021290417,1,0
154510,1.954648705,-0.877096658,-2.534731165,-0.26517988,-0.063545415,-1.7234745,0.727655548,-0.675991716,-1.049902398,0.988595674,-1.096640509,-0.634110349,-0.799665739,0.896674403,-0.231754897,-2.292360175,0.303444475,0.639254001,-0.782287737,-0.395727273,-0.016317232,0.226270717,-0.206890033,0.045920541,0.404856367,1.009385845,-0.152540812,-0.068013191,159.99,0
32745,-2.17913506,0.020217918,-2.182732796,2.572046261,-3.663733112,0.081567933,0.268048731,0.660437429,-2.374027363,-3.58281002,1.975821062,-3.500542265,0.170681027,-2.735940374,1.670251104,-4.046292997,-5.079479085,-2.586857045,1.669260553,1.9579603,1.026421111,0.299613502,1.656800007,0.328432502,0.106456828,0.691774506,0.196778974,0.241085157,717.15,1
100858,1.936432716,-0.534794053,0.141860691,0.382149392,-0.840972487,0.114692775,-1.133138046,0.166939596,2.518169556,-0.212824125,1.42818007,-1.866106433,1.227537041,1.407795036,-0.536667898,0.893241947,-0.18163143,0.88183414,-0.171471459,-0.231112978,-0.083912498,0.095683316,0.28751597,-0.444809201,-0.644729687,0.450175896,-0.044750356,-0.058449451,14.95,0
33074,-0.524363939,0.796603438,1.704901199,-0.476272292,0.552842926,0.689139934,0.475922678,-1.109653218,0.196659878,0.003502473,-0.903718738,-0.105176611,0.893607612,-0.634752128,1.360279658,0.264092763,-0.814277042,-0.213919325,-0.093649431,-0.05243291,0.659000735,-0.164357184,-0.041354208,-0.945041998,-0.596169436,0.256893958,-0.268955311,-0.313391439,19.99,0
53658,-1.739340964,1.344520789,-0.534379047,3.195291499,-0.416196142,-1.261960668,-2.340990939,0.713003646,-1.416264999,-2.996669302,0.747478136,-4.596611512,-1.927759702,-4.757074499,-1.247814819,-2.535494251,-5.356464544,-1.974748525,-0.603726269,0.002749478,0.383180108,-0.213952218,-0.336639825,0.237076301,0.246002932,-0.044227636,0.510729075,0.220951594,0,1
28099,1.202876107,0.033211357,0.588176835,0.362524024,-0.608847836,-0.677964901,-0.10344332,-0.050256997,0.116551598,-0.071770612,1.438691571,1.283288758,0.107758623,0.2119877,-0.443367726,0.023522274,-0.266716779,-0.290355294,0.443753192,-0.085052017,-0.180281093,-0.427298704,0.074372672,0.586816838,0.277263315,0.414339861,-0.045148913,0.002924426,4,0
72000,-0.48717992,0.984527023,1.663929005,-0.000480988,-0.071681997,-0.608950556,0.644325004,0.056936641,-0.403565601,-0.35746131,0.091320243,0.071245819,-0.177659791,0.216974552,1.090945854,-0.181902008,0.011048403,-0.889518249,-0.468007913,0.05734031,-0.177396008,-0.431325993,0.061682154,0.376709126,-0.312837636,0.080961426,0.279549993,0.120972691,8.08,0
35465,1.283500131,1.353054567,-1.776363201,1.521750113,1.158823938,-1.525208666,0.826364916,-0.405617874,-0.547824407,-1.575752545,0.5279179,-0.170487759,0.841611977,-3.585978326,1.009455144,1.139081537,2.475312635,1.386219524,-0.656024318,0.036750571,-0.232954356,-0.52390348,-0.280748192,-0.415167806,0.954294787,-0.266290454,0.045148734,0.093824737,0.99,0
37833,1.126464132,-0.211940351,0.81865107,0.066049576,-0.954108062,-0.712446049,-0.339816809,0.010558385,0.135231779,-0.01148142,1.620567965,0.884906794,-0.143412234,0.337617453,0.585037484,0.686888506,-0.5822967,0.031578989,0.161031878,0.014285219,-0.106530787,-0.457516797,0.134366906,0.564608591,-0.069016955,0.755059317,-0.074698506,0.013304656,45.57,0
51112,-9.848775832,7.365546486,-12.89853823,4.273323073,-7.611991011,-3.427045237,-8.350808153,6.863603922,-2.387567325,-6.065782363,2.707856405,-6.136034466,-0.545976096,-7.028980273,0.916068575,-4.092884494,-7.014621707,-2.530967259,0.554027499,0.832398066,0.931958309,-0.874467361,-0.192639469,-0.035426027,0.53866505,-0.263933517,1.134095094,0.225973164,99.99,1
79395,1.24665981,-0.363845658,0.906411384,-0.722914911,-1.22921205,-0.83042922,-0.586893195,-0.021279959,1.853362477,-1.073629265,-0.474007926,0.628920677,-0.252471772,-0.106679452,1.295309237,-0.432729276,-0.132613369,0.213486912,0.557252259,-0.13930516,-0.014742996,0.197074962,-0.033077913,0.403736857,0.49298365,-0.685894672,0.092267235,0.034845691,1,0
49221,-0.717228098,2.12467706,-0.745652861,1.015070898,0.832875739,-1.579895538,0.90848875,0.318857699,-1.311035629,-2.023717673,2.197271932,-0.48986435,-1.411756782,-2.729826715,0.227313966,1.242233018,2.78478884,2.113690287,-0.458795689,-0.146533246,-0.034100926,-0.272776301,-0.291329618,0.173288087,0.317844227,-0.359970303,-0.044736509,0.064503492,5.09,0
70071,-0.440095203,1.137238976,-3.227079757,3.242292934,-2.033998153,-1.618414648,-3.028012599,0.76455482,-1.801937209,-4.711768684,4.663254585,-5.171734608,-1.624070248,-6.713878195,0.607986268,-3.275207499,-6.823831213,-1.355308686,0.291250739,0.895840844,0.764186725,-0.275577693,-0.343571526,0.233084829,0.60643364,-0.315433462,0.768290751,0.459623328,227.3,1
139271,-0.034336231,0.443739944,0.93338498,-0.396507427,0.384042608,-0.125462364,1.235469701,-0.515072754,0.843122452,-0.232879789,0.525492242,1.354171708,0.065303397,-0.781987033,-2.674902952,-1.033552291,-0.308489217,-0.499685196,0.748253018,-0.119491492,-0.291955482,-0.197570456,-0.076061803,0.085684247,-0.338874479,-0.683671557,-0.479162897,-0.430725445,38.28,0
41870,-20.9069081,9.843153223,-19.94772605,6.155788648,-15.14201316,-2.239565648,-21.23446315,1.151795066,-8.739670371,-18.27116817,4.677349297,-9.583566437,1.035165824,-8.199690029,-0.326518882,-8.376438821,-18.48546032,-7.589973959,1.126640365,0.396654845,-1.977196194,0.652931885,-0.519776859,0.54170173,-0.053860761,0.112670774,-3.765371009,-1.071238312,1,1
29531,-1.060676284,2.60857947,-2.971679003,4.360089352,3.738853043,-2.728395073,1.987616355,-0.357344707,-2.757534513,-2.335933327,2.111516867,-2.59194965,-1.950589355,-7.311579817,0.077752766,2.290607832,6.50927165,2.569971426,-3.286150082,-0.089061537,-0.063167877,-0.207385284,-0.183260817,-0.103679373,0.896178353,0.407386872,-0.130918311,0.192177382,0.68,1
25198,-15.9036352,10.39391714,-19.13360246,6.185968835,-12.53802092,-4.027030447,-13.8978266,10.66225178,-2.844953985,-9.668788912,7.394419411,-11.63563005,1.423276925,-8.6404591,-0.674719539,-7.695568788,-13.68413959,-4.777406039,1.268342773,1.501565411,1.577548225,-1.280137123,-0.601294527,0.040403921,0.995501971,-0.273742712,1.688135896,0.5278308,99.99,1
